authors,title,venue,year,note
"Wang ,D., 18 co-authors, [S. N. Sheth](self), and C. D. Muir",Adaptation of \emph{Mimulus cardinalis} to drought through changes in stomatal conductance.,"Sino-American Conference on New Horizons in Plant Science, Shandong, China (presented by D. Wang)",2026,
"Wang ,D., 18 co-authors, [S. N. Sheth](self), and C. D. Muir",Adaptation of \emph{Mimulus cardinalis} to drought through changes in stomatal conductance.,"Botany, Tucson, AZ (presented by D. Wang)",2026,
"Hale, C. W., A. W. Wyngaarden, A. Lewis, M. Williams, J. M. Cruse-Sanders, J. T. Anderson, [S. N. Sheth](self), S. M. Wadgymar, E. B. Josephs, and M. L. DeMarche",A conservation data disconnect: conservationists need evolutionary biology data.,"Evolution, Cleveland, OH (presented by C. W. Hale)",2026,
"[Goff, K. A.](g), M. F. Oldfather, J. Nachlinger, B. Smithers, M. J. Koontz, J. Bishop, C. Bishop, M. T. Burke, and [S. N. Sheth](self)","Limited directional change in mountaintop plant communities over 19 years in the Sierra Nevada and Great Basin, U.S.A.","MtnClim, Gothic, CO (presented by K. A. Goff)",2026,
"[Goff, K. A.](g), M. F. Oldfather, J. Nachlinger, B. Smithers, M. J. Koontz, J. Bishop, C. Bishop, M. T. Burke, and [S. N. Sheth](self)",From the range of light to Monts Chic-Chocs: GLORIA North American synthesis of alpine plant responses to climate change.,"California Botanical Society Annual Banquet, Merced, CA (poster presented by K. A. Goff)",2026,
"Volk, A.,, M. F. Oldfather, [K. A. Goff](g), [S. N. Sheth](self), A. Cisneros Carey, D. Witwicki, K. Legg, and B. Smithers",The first synthesis of North American alpine environments (GLORIA).,"Rocky Mountain National Park Biennial Research Conference, Estes Park, CO (poster presented by A. Volk)",2026,
"[Goff, K. A.](g), M. F. Oldfather, J. Nachlinger, B. Smithers, M. J. Koontz, J. Bishop, C. Bishop, M. T. Burke, and [S. N. Sheth](self)","Limited directional change in mountaintop plant communities over 19 years in the Sierra Nevada and Great Basin, U.S.A.","Ecological Society of America, Baltimore, MD (presented by K. A. Goff)",2025,
"Duran, L. M., N. Ramadoss, [S. Sheth](self), and L. Flores-Renter\'{i}a",Investigating genetic spillage in a \emph{Erythranthe cardinalis} common garden experiment.,"Botanical Society of America, Palm Springs, CA (presented by L. Durán)",2025,
"[Albano, L. J.](p), R. A. Bingham, S. Corera, C. G. Laufenberg, A. C. Payst, C. D. Muir, and [S. N. Sheth](self)",Range-wide responses to an extreme heat event in \emph{Mimulus cardinalis}.,"Evolution, Athens, GA (presented by L. J. Albano)",2025,
"[Pennington, L. K.](p), [S. N. Sheth](self), S. J. Franks, E. Hammann, J. T. Anderson",Range-wide responses to an extreme heat event in \emph{Mimulus cardinalis}.,"Evolution, Athens, GA (presented by L. K. Pennington)",2025,
