institution,year,note
"University Program in Ecology, Duke University ",2026 (forthcoming),
"Department of Biology, The Pennsylvania State University",2026 (forthcoming),
"Biology Seminar Series, Arkansas State University",2026 (forthcoming),
"Biology Lunch Bunch, Department of Biology, University of North Carolina",2025,
"Department of Biology, Appalachian State University",2024,
"Graduate Program in Plant Biology and Conservation, Chicago Botanic Garden",2024,
"Department of Applied Ecology, North Carolina State University",2024,
"Graduate Program in Plant Biology and Conservation, Chicago Botanic Garden",2024,
"Department of Plant and Microbial Biology, North Carolina State University",2023,
"Department of Biology, Utah State University",2023,
"Department of Plant Biology, Carnegie Institution for Science",2023,
"Department of Biology, Wake Forest University",2022,
"Genetics and Genomics Academy, North Carolina State University",2022,
"Department of Biology, University of Toronto, Mississauga",2022,Graduate Student Invited Speaker
"Department of Plant Biology, University of Georgia",2021,Graduate Student Invited Speaker
"Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville",2021,
"Department of Ecology and Evolutionary Biology, University of Colorado, Boulder",2021,
"Department of Ecology and Evolutionary Biology, University of California, Irvine",2021,
"Ecology, Evolution, and Behavior Program, Michigan State University",2021,
"Department of Integrative Biology, University of California, Berkeley",2020,Graduate Student Invited Speaker
"Department of Ecology and Evolutionary Biology, University of Arizona",2020,
"Department of Ecology and Evolutionary Biology, Tulane University",2019,
"Program in Ecology, Duke University",2019,
"Kellogg Biological Station, Michigan State University",2019,
"Genetics and Genomics Seminar Series, North Carolina State University",2019,
"Bio-Pop Seminar Series, Department of Biology, University of North Carolina",2018,
"Department of Plant Biology, University of Vermont",2018,
"EEBio Seminar Series, Department of Biology, University of Virginia",2018,
"Department of Forestry and Environmental Resources, North Carolina State University",2018,
"Department of Biological Sciences, California Polytechnic State University",2017,
"Department of Ecology and Evolutionary Biology, University of California, Los Angeles",2017,
"Environmental Systems Graduate Group, University of California, Merced",2017,
"School of Integrative Plant Science, Plant Biology Section, Cornell University",2017,
"Center for Population Biology, University of California, Davis",2017,
"Department of Biology, University of Utah",2017,
Natural History Museum of Utah,2017,
"Department of Plant and Microbial Biology, North Carolina State University",2017,
"Department of Biology, Williams College",2016,
"Department of Biology, University of San Francisco",2016,
"Department of Biology, Grinnell College",2015,
"Department of Plant Biology, University of Minnesota",2015,
"Department of Biology, Washington University in St. Louis",2007,
"Department of Biology, St. Louis University",2007,
