venue,year,symposium,title,authors
"Botany, Palm Springs, CA",2025,Symposium: Reproductive ecology and evolution of plants in stress-prone environments,Evolutionary responses to historic drought across the range of scarlet monkeyflower,"[Sheth, S. N.](self) and 24 co-authors"
"Botany, Palm Springs, CA",2025,"Colloquium: Common gardens in the 21st Century: the intersection between evolution and ecology, science and management",Plastic responses to drought in Mimulus cardinalis vary among traits and populations,"Cook, E., L., L. Albano, K. Kutella, D. Wang, Flores-Rentería, J. Sexton, C. D. Muir, [S. N. Sheth](self), and J. Diez; presented by E. Cook"
"Cologne Spring Meeting, Cologne, Germany",2025,International Symposium: Plant Ecological Genetics,Evolutionary responses to historic drought across the range of scarlet monkeyflower,"[Sheth, S. N.](self) and 24 co-authors"
"3rd Joint Congress on Evolutionary Biology, Montreal, Canada",2024,Symposium: Predicting evolutionary responses to a changing world,Predicting evolutionary rescue using landscape genomics,"Anstett, D. N., J. Anstett, [S. N. Sheth](self), D. Moxley, M. Jahani, K. Huang, M. Todesco, R. Jordan, J. L\'azaro-Guevara, L. Rieseberg, and A. L. Angert; presented by D. Anstett"
3rd Joint Congress on Evolutionary Biology (virtual),2024,American Society of Naturalists Vice Presidential Symposium: Quantifying organismal function through time to detect ecological and evolutionary responses to global change,Evolutionary responses to historic drought across the range of scarlet monkeyflower,"[Sheth, S. N.](self) and 24 co-authors"
"Ecological Society of America, Portland, OR",2023,Symposium: Combining ecology and evolutionary knowledge for conservation,Using landscape genomics and resurrection studies to understand whether rapid evolution can forestall range contractions,"Angert, A., D. N. Anstett, H. Branch, J. Anstett, [S. N. Sheth](self), L. Rieseberg, D. Moxley, M. Todesco, K. Huang, M. Jahani, R. Jordan, and J. L\'azaro-Guevara; presented by A. Angert"
46th Annual Southern California Botanists Symposium (virtual),2020,Living on the edge - Plants in extreme environments,The role of demographic and evolutionary processes in buffering populations from climate change,
"International Biogeography Society Humboldt-250 Meeting, Quito, Ecuador",2019,Symposium: Architects of variation: How climate and physiology shape patterns of biodiversity,Can plant thermal tolerance evolve under climate change? A comparison of central and edge populations,"[Wooliver, R.](p), S. Tittes, and [S.N. Sheth](self); presented by R. Wooliver"
"Green Life Sciences, University of Michigan, Ann Arbor, MI",2018,Symposium: Plant-environment interactions across scales,Do demographic compensation and adaptation buffer species from changing climate?,
"Society for the Study of Evolution, Portland, OR",2017,American Society of Naturalists Symposium: Across the Nth dimension: Quantitative and conceptual advances in the study of niche breadth,Does niche breadth predict vulnerability to changing environments? From population-level traits and demography to diversification in deep time,
"SACNAS, Long Beach, CA",2016,Scientific Symposium: (Day and) Night at the Museum: Exploring Research in Ecology and Evolution Behind the Scenes of Natural History Museums,Harnessing the power of herbarium specimen data for ecological and evolutionary studies,
"Jornadas Argentinas de Botanica, Corrientes, Argentina",2007,Symposium: Conservation and Threat Assessments of Plants,Riesgo de extinci\'on en Bignonieae (Bignoniaceae): una perspectiva filogen\'etica,"[Sheth, S.N.](self), L.G. Lohmann, T. Consiglio, and I. Jim\'enez"
"Botanical Society of America and Plant Biology Joint Congress, Chicago, IL",2007,\small{Colloquium: Integration of spatial and ecological data in evolutionary studies},Extinction risk in Bignonieae (Bignoniaceae): a phylogenetic perspective,"[Sheth, S.N.](self), L.G. Lohmann, T. Consiglio, and I. Jim\'enez"
