number,authors,year,title,journal,volume_pages,doi,note
1,"Amend, J. P., D. A. R. Meyer-Dombard, [S. N. Sheth](self), N. Zolotova, and A. C. Amend",2003,"\textit{Palaeococcus helgesonii} sp. nov., a facultatively anaerobic, hyperthermophilic archaeon from a geothermal well on Vulcano Island, Italy",Archives of Microbiology,179: 394-401,https://doi.org/10.1007/s00203-003-0542-7,
2,"[Sheth, S. N.](self), L. G. Lohmann, T. Consiglio, and I. Jim\'enez",2008,Effects of detectability on estimates of geographic range size in Bignonieae,Conservation Biology,22: 200-211,https://doi.org/10.1111/j.1523-1739.2007.00858.x,
3,"[Sheth, S. N.](self), B. A. Loiselle, and J. G. Blake",2009,Phylogenetic constraints on fine-scale patterns of habitat use by eight primate species in eastern Ecuador,Journal of Tropical Ecology,25: 571-582,https://doi.org/10.1017/S0266467409990216,
4,"Angert, A. L., [S. N. Sheth](self), and J. R. Paul",2011,Incorporating population-level variation in thermal performance into predictions of geographic range shifts,Integrative and Comparative Biology,51: 733-750,https://doi.org/10.1093/icb/icr048,
5,"Paul, J. R., [S. N. Sheth](self), and A. L. Angert",2011,Quantifying the impact of gene flow on phenotype-environment mismatch: a demonstration with the scarlet monkeyflower \textit{Mimulus cardinalis},American Naturalist,178: S62-S79,https://doi.org/10.1086/661781,
6,"[Sheth, S. N.](self), L. G. Lohmann, T. Distler, and I. Jim\'enez",2012,Understanding bias in geographic range size estimates,Global Ecology and Biogeography,21: 732-742,https://doi.org/10.1111/j.1466-8238.2011.00716.x,
7,"[Sheth, S. N.](self), I. Jim\'enez, and A. L. Angert",2014,Identifying the paths leading to variation in geographical range size in western North American monkeyflowers,Journal of Biogeography,41: 2344-2356,https://doi.org/10.1111/jbi.12378,
8,"[Sheth, S. N.](self) and A. L. Angert",2014,The evolution of environmental tolerance and range size: a comparison of geographically restricted and widespread \textit{Mimulus},Evolution,68: 2917-2931,https://doi.org/10.1111/evo.12494,
9,"[Sheth, S. N.](self) and A. L. Angert",2016,Artificial selection reveals high genetic variation in phenology at the trailing edge of a species range,The American Naturalist,187: 182-193,https://doi.org/10.1086/684440,American Naturalist 2016 Student Paper Award
10,"Angert, A. L., M. Bayly, [S. N. Sheth](self), and J. R. Paul",2018,Testing range-limit hypotheses using range-wide habitat suitability and occupancy for the scarlet monkeyflower (\textit{Erythranthe cardinalis}),The American Naturalist,191: E76-E89,https://doi.org/10.1086/695984,
11,"Morueta-Holme, N., M. F. Oldfather, R. L. Olliff-Yang, A. P. Weitz, C. R. Levine, M. M. Kling, E. C. Riordan, C. Merow, [S. N. Sheth](self), A. H. Thornhill, and D. D. Ackerly",2018,The language of climate change: best practices in research and publication,Nature Climate Change,8: 92-94,https://doi.org/10.1038/s41558-017-0060-2,
12,"Pain, R. E., R. G. Shaw, and [S. N. Sheth](self)",2018,Costs associated with N-fixing rhizobia early in the life of partridge pea \textit{Chamaecrista fasciculata},American Journal of Botany,105: 796-802,https://doi.org/10.1002/ajb2.1077,
13,"[Sheth, S. N.](self) and A. L. Angert",2018,Demographic compensation does not rescue populations at a trailing range edge,Proceedings of the National Academy of Sciences (USA),115: 2413-2418,https://doi.org/10.1073/pnas.1715899115,
14,"[Sheth, S. N.](self), M. W. Kulbaba, R. E. Pain, and R. G. Shaw",2018,Expression of additive genetic variance for fitness in a population of partridge pea in two field sites,Evolution,72: 2537-2545,https://doi.org/10.1111/evo.13614,
15,"Kulbaba, M. W., [S. N. Sheth](self), R. E. Pain, V. M. Eckhart, and R. G. Shaw",2019,Additive genetic variance for lifetime fitness and the capacity for adaptation in the wild,Evolution,73: 1746-1758,https://doi.org/10.1111/evo.13830,
16,"Lowry, D. B., J. M. Sobel, A. L. Angert, T-L. Ashman, R. L. Baker, B. K. Blackman, Y. Brandvain, K. J. R. P. Byers, A. M. Cooley, J. M. Coughlan, M. R. Dudash, C. B. Fenster, K. G. Ferris, L. Fishman, J. Friedman, D. L. Grossenbacher, L. M. Holeski, C. T. Ivey, K. M. Kay, V. A. Koelling, N. J. Kooyers, C. J. Murren, C. D. Muir, T. C. Nelson, M. L. Peterson, J. R. Puzey, M. C. Rotter, J. R. Seeman, J. P. Sexton, [S. N. Sheth](self), M. A. Streisfeld, A. L. Sweigart, A. D. Twyford, M. Vallejo-Marin, J. H. Willis, C. A. Wu, and Y. W. Yuan",2019,The case for the continued use of the genus name \textit{Mimulus} for all monkeyflowers,Taxon,68: 617-623,https://doi.org/10.1002/tax.12122,
17,"Briscoe Runquist, R. D., A. J. Gorton, J. B. Yoder, N. J. Deacon, J. J. Grossman, S. A. Kothari, M. P. Lyons, [S. N. Sheth](self), P. Tiffin, and D. A. Moeller",2020,Context dependence of local adaptation to abiotic and biotic environments: a quantitative and qualitative synthesis,The American Naturalist,195: 412-431,https://doi.org/10.1086/707322,
18,"Oldfather, M. F., M. M. Kling, [S. N. Sheth](self), N. C. Emery, and D. D. Ackerly",2020,Range edges in heterogeneous landscapes: integrating geographic scale and climate complexity into range dynamics,Global Change Biology,26: 1055-1067,https://doi.org/10.1111/gcb.14897,
19,"[Sheth, S. N.](self), N. Morueta-Holme, and A. L. Angert",2020,Determinants of geographic range size in plants,New Phytologist,226: 650-665,https://doi.org/10.1111/nph.16406,
20,"Smithers, B. V., M. F. Oldfather, M. J. Koontz, J. Bishop, C. Bishop, J. Nachlinger, and [S. N. Sheth](self)",2020,Community turnover by composition and climate affinity across scales in an alpine system,American Journal of Botany,107: 239-249,https://doi.org/10.1002/ajb2.1376,
21,"[Vtipil, E. E.](u,g) and [S. N. Sheth](self)",2020,A resurrection study reveals limited evolution of phenology in response to recent climate change across the geographic range of the scarlet monkeyflower,Ecology and Evolution,10: 14165-14177,https://doi.org/10.1002/ece3.7011,
