entry_latex
"\hangindent=5ex Climate-Demography Workshop, Rice University, Houston, TX & 2023"
"\hangindent=5ex Working group on evolutionary processes in Long-Term Ecological Research sites (Evo-LTER), Sevilleta National Wildlife Refuge LTER, La Joya, NM & 2022"
"\hangindent=5ex Mentoring Makes a Difference Workshop Series, North Carolina State University (virtual) & 2022"
"\hangindent=5ex HHMI Inclusive Excellence Faculty Workshop, North Carolina State University, Raleigh, NC & 2021"
"\hangindent=5ex Agricultural Leadership Learning Institute for Faculty, North Carolina State University, Raleigh, NC & 2019"
"\hangindent=5ex Evolution in Changing Seas Synthesis Workshop, Shoals Marine Laboratory, Appledore, ME & 2019"
"\hangindent=5ex Software Carpentry Workshop, Berkeley Institute of Data Sciences, Berkeley, CA & 2016"
"\hangindent=5ex Early Career Centennial Mentoring Program, Ecological Society of America, Baltimore, MD & 2015"
"\hangindent=5ex Quantitative Genetics and Mixed Models in Quantitative Genetics, Summer Institute in Statistical Genetics, University of Washington, Seattle, WA & 2013"
"\hangindent=5ex Intro to Python for ArcGIS Workshop, Colorado State University, Fort Collins, CO & 2013"
"\hangindent=5ex Science Communication Workshop, Colorado State University, Fort Collins, CO & 2012"
"\hangindent=5ex Living on the edge: integrating science into the management of range-margin populations, University of Wyoming, Laramie, WY & 2010"
"\hangindent=5ex Applied Phylogenetics Workshop, Bodega Bay Marine Laboratory, CA & 2010"
"\hangindent=5ex Working with ArcGIS Spatial Analyst (short course), Environmental Systems Research Institute, St. Charles, MO & 2007"
"\hangindent=5ex Distance Sampling Workshop, University of Missouri - St. Louis, St. Louis, MO & 2006"
"\hangindent=5ex Assessing extinction risk in Bignonieae (summer internship), Center for Conservation and Sustainable Development, Missouri Botanical Garden, St. Louis, MO & 2005"
"\hangindent=5ex Geographic Information Systems (course), University of Missouri - St. Louis & 2004"
"\hangindent=5ex Tropical Biology: An Ecological Approach (course), Organization for Tropical Studies, Costa Rica & 2004"
"\hangindent=5ex Historical Biogeography (short course), University of Missouri - St. Louis & 2004"
